,black,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWSocSec,pctWRetire,medFamInc,perCapInc,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,GroundTruth,GroundTruth_DB,FairDEN,Scalable,FairSC_normalized,FairSC
361,0,0.02,0.39,0.29,0.41,0.21,0.51,0.04,1.0,0.29,0.54,0.13,0.56,0.68,0.29,0.29,0.31,0.39,0.26,0.41,0.5,0.45,0.37,0.4,0.4,0.55,0.37,0.58,0.59,0.44,0.48,0.52,0.66,0.51,0.71,0.72,0.22,0.21,0.41,0.43,0.35,0.65,0.1,0.55,0.0,0.03,0.75,0.63,0.28,0.48,0.35,0.06,0.16,0.11,0.09,0.09,0.34,0.3,0.26,0.33,0.55,0.25,0.24,0.0,0.02,0.3,0.11,0.0,0,-1,0,1,0,0
362,0,0.41,0.37,0.41,0.5,0.33,0.48,0.42,0.99,0.13,0.41,0.17,0.58,0.47,0.15,0.17,0.36,0.53,0.25,0.62,0.33,0.26,0.57,0.45,0.33,0.75,0.56,0.76,0.79,0.51,0.18,0.16,0.35,0.19,0.65,0.6,0.33,0.27,0.38,0.42,0.37,0.43,0.18,0.61,0.0,0.65,0.57,0.42,0.55,0.54,0.42,0.37,0.34,0.06,0.05,0.07,0.06,0.13,0.15,0.16,0.48,0.4,0.47,0.32,0.43,0.15,0.2,0.38,1,-1,1,1,0,0
363,1,0.0,0.56,0.51,0.54,0.38,0.4,0.0,0.0,0.25,0.55,0.27,0.42,0.43,0.25,0.21,0.26,0.35,0.29,0.24,0.56,0.6,0.38,0.46,0.33,0.49,0.36,0.53,0.53,0.51,0.59,0.64,0.77,0.67,0.61,0.53,0.27,0.27,0.52,0.52,0.53,0.49,0.19,0.49,0.5,0.01,0.92,0.5,0.12,0.25,0.69,0.29,0.27,0.12,0.1,0.09,0.25,0.28,0.27,0.27,0.37,0.42,0.33,0.01,0.01,0.26,0.04,0.0,0,-1,0,1,0,0
364,1,0.02,0.43,0.38,0.39,0.23,0.44,0.03,1.0,0.32,0.61,0.31,0.46,0.49,0.31,0.27,0.24,0.3,0.27,0.33,0.56,0.24,0.38,0.34,0.38,0.6,0.26,0.61,0.63,0.42,0.61,0.65,0.66,0.71,0.6,0.77,0.24,0.23,0.45,0.47,0.43,0.59,0.16,0.42,0.5,0.01,0.92,0.58,0.09,0.19,0.67,0.23,0.25,0.13,0.11,0.1,0.29,0.28,0.29,0.28,0.33,0.39,0.24,0.0,0.02,0.25,0.06,0.0,0,-1,0,1,0,0
365,0,0.15,0.36,0.36,0.46,0.28,0.55,0.17,1.0,0.21,0.45,0.11,0.6,0.55,0.23,0.23,0.31,0.48,0.29,0.51,0.44,0.5,0.5,0.53,0.38,0.6,0.47,0.6,0.62,0.46,0.4,0.41,0.46,0.43,0.65,0.65,0.3,0.25,0.37,0.39,0.35,0.61,0.11,0.53,0.5,0.19,0.7,0.59,0.36,0.43,0.23,0.3,0.18,0.05,0.04,0.05,0.2,0.25,0.27,0.27,0.49,0.2,0.43,0.14,0.1,0.24,0.2,1.0,0,-1,0,1,0,0
366,0,0.16,0.4,0.46,0.52,0.38,0.53,0.17,1.0,0.17,0.37,0.09,0.62,0.62,0.2,0.19,0.3,0.48,0.21,0.59,0.35,0.56,0.5,0.54,0.32,0.59,0.56,0.52,0.57,0.49,0.38,0.41,0.35,0.4,0.39,0.4,0.3,0.25,0.38,0.44,0.35,0.49,0.1,0.48,0.5,0.17,0.71,0.47,0.52,0.67,0.04,0.34,0.29,0.06,0.05,0.05,0.11,0.13,0.14,0.15,0.51,0.22,0.47,0.13,0.06,0.41,0.21,0.43,0,-1,0,1,0,0
367,1,0.01,0.7,0.61,0.56,0.39,0.39,0.0,0.0,0.09,0.48,0.88,0.56,0.36,0.09,0.1,1.0,0.87,0.18,0.95,0.23,0.14,0.5,0.43,0.32,0.41,0.35,0.48,0.47,0.83,0.62,0.56,0.69,0.61,0.38,0.21,0.73,0.71,0.75,0.68,0.81,0.54,0.63,0.55,0.0,0.03,0.54,0.58,0.61,0.76,0.52,1.0,1.0,0.03,0.03,0.05,0.06,0.11,0.13,0.09,0.46,0.33,0.35,0.0,0.01,0.22,0.02,0.0,0,-1,1,1,1,1
368,0,0.07,0.58,1.0,1.0,1.0,0.04,0.08,1.0,0.05,0.87,0.78,0.05,0.08,0.27,0.14,0.08,0.08,0.97,0.36,0.22,0.05,1.0,0.17,0.63,0.05,1.0,0.09,0.06,0.41,0.73,0.74,0.75,0.56,0.46,0.49,0.15,0.08,0.29,0.57,0.28,0.06,0.28,0.8,0.0,0.1,0.59,0.03,0.07,0.59,0.79,0.17,0.07,0.17,0.16,0.17,0.28,0.29,0.3,0.29,1.0,0.45,0.24,0.0,0.08,0.15,0.22,0.0,0,-1,1,0,0,0
369,0,0.07,0.45,0.33,0.44,0.25,0.45,0.08,1.0,0.42,0.65,0.21,0.48,0.67,0.41,0.33,0.27,0.33,0.25,0.17,0.59,0.54,0.31,0.34,0.37,0.35,0.33,0.39,0.39,0.44,0.74,0.75,0.84,0.74,0.62,0.6,0.16,0.17,0.46,0.51,0.27,0.81,0.06,0.31,0.5,0.03,0.9,0.77,0.01,0.24,0.46,0.02,0.16,0.16,0.12,0.09,0.39,0.35,0.38,0.37,0.37,0.09,0.18,0.0,0.03,0.42,0.06,0.0,0,-1,0,1,0,0
370,0,0.03,0.38,0.44,0.46,0.29,0.55,0.05,1.0,0.17,0.33,0.28,0.57,0.55,0.2,0.23,0.31,0.52,0.27,0.54,0.3,0.37,0.52,0.51,0.38,0.67,0.36,0.68,0.71,0.45,0.33,0.31,0.43,0.4,0.55,0.52,0.27,0.24,0.38,0.37,0.43,0.47,0.19,0.55,0.5,0.1,0.46,0.48,0.25,0.54,0.52,0.48,0.55,0.05,0.06,0.08,0.13,0.19,0.21,0.21,0.48,0.31,0.47,0.0,0.06,0.13,0.01,0.0,0,-1,0,1,0,0
371,0,0.03,0.15,0.25,0.68,0.35,0.25,0.05,1.0,0.37,0.78,0.19,0.21,0.21,0.39,0.48,0.19,0.25,0.55,0.2,0.81,0.22,0.25,0.19,0.55,0.73,0.6,0.77,0.79,0.27,0.49,0.5,0.75,0.51,0.71,0.72,0.12,0.07,0.15,0.23,0.18,0.3,0.09,0.75,0.0,0.1,0.5,0.29,0.1,0.1,0.83,0.17,0.12,0.17,0.15,0.15,0.47,0.43,0.48,0.46,0.38,0.39,0.44,0.0,0.03,0.23,0.06,0.0,0,-1,0,1,0,0
372,1,0.01,0.48,0.41,0.5,0.28,0.29,0.0,0.0,0.39,0.75,0.27,0.36,0.34,0.39,0.31,0.19,0.26,0.33,0.11,0.78,0.41,0.32,0.46,0.38,0.36,0.36,0.45,0.42,0.52,0.69,0.75,0.75,0.69,0.85,0.88,0.18,0.18,0.53,0.64,0.4,0.51,0.07,0.43,0.5,0.0,0.96,0.46,0.14,0.15,0.65,0.08,0.05,0.17,0.14,0.13,0.4,0.38,0.38,0.34,0.33,0.34,0.36,0.0,0.02,0.18,0.01,0.0,0,-1,0,1,0,0
373,1,0.02,0.59,0.4,0.52,0.3,0.17,0.02,0.69,0.6,0.87,0.45,0.22,0.3,0.54,0.43,0.17,0.24,0.39,0.42,0.79,0.75,0.2,0.36,0.53,0.33,0.36,0.33,0.34,0.56,0.83,0.84,0.83,0.86,0.72,0.77,0.19,0.21,0.64,0.66,0.51,0.74,0.07,0.38,0.5,0.01,0.87,0.71,0.11,0.37,0.79,0.07,0.17,0.38,0.36,0.33,0.63,0.62,0.71,0.72,0.48,0.72,0.57,0.0,0.08,0.06,0.02,0.0,0,-1,0,0,0,0
374,0,0.01,0.4,0.45,0.55,0.42,0.46,0.0,0.0,0.23,0.51,0.28,0.53,0.29,0.27,0.34,0.47,0.55,0.4,0.29,0.5,0.52,0.46,0.52,0.43,0.66,0.44,0.65,0.68,0.43,0.33,0.33,0.33,0.27,0.68,0.6,0.27,0.24,0.37,0.37,0.42,0.32,0.23,0.57,0.0,0.04,0.62,0.34,0.02,0.31,0.6,0.59,0.13,0.17,0.2,0.27,0.14,0.24,0.26,0.25,0.44,0.41,0.32,0.02,0.06,0.07,0.02,0.0,0,-1,0,1,0,0
375,1,0.02,0.56,0.39,0.29,0.2,0.45,0.03,1.0,1.0,0.61,0.41,0.45,0.51,1.0,1.0,0.06,0.05,0.9,0.12,0.53,0.21,0.78,0.06,1.0,0.16,0.29,0.24,0.21,0.51,0.95,0.93,0.98,0.91,0.39,0.29,0.24,0.26,0.61,0.59,0.49,0.93,0.13,0.16,0.5,0.01,0.9,0.92,0.1,0.41,0.31,0.0,0.0,1.0,1.0,1.0,0.8,0.93,1.0,0.99,0.52,0.59,0.14,0.0,0.02,0.19,0.01,0.0,1,-1,1,0,0,0
376,1,0.03,0.43,0.33,0.34,0.22,0.37,0.03,0.71,0.75,0.66,0.33,0.4,0.52,0.77,0.72,0.11,0.14,0.76,0.12,0.68,0.3,0.51,0.12,0.78,0.26,0.34,0.32,0.3,0.44,0.85,0.88,0.96,0.79,0.46,0.58,0.12,0.13,0.47,0.51,0.29,0.8,0.03,0.31,0.5,0.02,0.88,0.76,0.06,0.59,0.6,0.02,0.03,0.59,0.6,0.61,0.47,0.64,0.74,0.63,0.38,0.51,0.47,0.0,0.15,0.04,0.14,0.0,0,-1,0,0,0,0
377,1,0.01,0.55,0.55,0.5,0.28,0.35,0.0,0.0,0.3,0.54,0.12,0.43,1.0,0.29,0.2,0.11,0.38,0.16,0.68,0.42,0.65,0.17,0.55,0.28,0.57,0.27,0.48,0.54,0.63,0.64,0.72,0.56,0.76,0.47,0.61,0.49,0.47,0.6,0.61,0.5,0.72,0.16,0.37,0.5,0.02,0.74,0.71,0.57,0.57,0.52,0.36,0.05,0.12,0.1,0.09,0.18,0.2,0.2,0.2,0.23,0.32,0.26,0.0,0.03,0.09,0.05,0.0,0,-1,0,1,0,0
378,0,0.02,0.5,0.31,0.4,0.24,0.44,0.04,1.0,0.58,0.61,0.23,0.49,0.38,0.58,0.71,0.27,0.33,0.56,0.31,0.6,0.39,0.68,0.39,0.63,0.45,0.52,0.54,0.53,0.56,0.52,0.5,0.7,0.48,0.57,0.49,0.5,0.45,0.54,0.59,0.46,0.55,0.3,0.51,0.5,0.02,0.83,0.53,0.19,0.43,0.21,0.16,0.29,0.53,0.55,0.84,0.43,0.49,0.66,0.47,0.55,0.63,1.0,0.01,0.01,0.42,0.87,0.0,0,-1,0,0,0,0
379,0,0.01,0.33,0.39,0.51,0.29,0.41,0.02,1.0,0.35,0.67,0.31,0.42,0.55,0.36,0.38,0.2,0.3,0.4,0.18,0.59,0.45,0.44,0.31,0.55,0.52,0.33,0.6,0.59,0.4,0.58,0.6,0.71,0.5,0.61,0.57,0.13,0.12,0.36,0.42,0.29,0.59,0.08,0.49,0.5,0.03,0.68,0.56,0.2,0.34,0.56,0.18,0.07,0.13,0.12,0.13,0.22,0.25,0.25,0.28,0.2,0.16,0.26,0.0,0.05,0.08,0.01,0.0,0,-1,0,1,0,0
380,0,0.11,0.36,0.41,0.52,0.36,0.55,0.12,1.0,0.17,0.39,0.08,0.62,0.53,0.2,0.2,0.55,0.74,0.12,0.57,0.39,0.69,0.3,0.8,0.19,0.67,0.56,0.66,0.69,0.47,0.25,0.25,0.27,0.28,0.48,0.42,0.36,0.28,0.37,0.4,0.37,0.46,0.19,0.48,0.5,0.15,0.66,0.46,0.69,0.53,0.0,0.39,0.43,0.04,0.03,0.04,0.18,0.21,0.23,0.2,0.51,0.21,0.47,0.1,0.03,0.67,0.41,0.65,0,-1,0,1,0,0
381,0,0.01,0.76,0.52,0.42,0.24,0.15,0.0,0.0,0.59,0.81,0.57,0.21,0.16,0.56,0.39,0.21,0.28,0.41,0.1,0.67,0.52,0.25,0.37,0.41,0.2,0.28,0.29,0.26,0.75,0.88,0.87,0.94,0.74,0.19,0.34,0.28,0.33,0.81,0.84,0.53,0.86,0.12,0.12,0.5,0.01,0.86,0.83,0.08,0.47,0.88,0.12,0.29,0.21,0.23,0.24,0.26,0.3,0.36,0.32,0.3,0.51,0.21,0.0,0.03,0.1,0.0,0.0,0,-1,0,0,0,0
382,1,0.02,0.5,0.28,0.36,0.21,0.51,0.04,1.0,0.71,0.69,0.08,0.56,0.62,0.69,0.6,0.15,0.2,0.55,0.1,0.64,0.34,0.44,0.19,0.62,0.17,0.38,0.23,0.21,0.49,0.86,0.87,0.96,0.72,0.43,0.57,0.17,0.18,0.53,0.57,0.26,0.85,0.03,0.23,0.5,0.01,0.92,0.81,0.07,0.53,0.15,0.03,0.42,0.57,0.52,0.5,0.66,0.69,0.83,0.71,0.49,0.56,0.49,0.0,0.01,0.39,0.47,0.0,0,-1,0,0,0,0
383,1,0.0,0.46,0.89,0.78,0.83,0.37,0.0,0.0,0.19,0.55,0.42,0.43,0.3,0.28,0.21,0.18,0.26,0.5,0.4,0.41,0.05,0.52,0.16,0.44,0.48,0.86,0.48,0.49,0.38,0.54,0.58,0.4,0.53,0.7,0.93,0.17,0.14,0.32,0.38,0.29,0.46,0.13,0.58,0.0,0.02,0.75,0.44,0.07,0.22,0.42,0.33,0.4,0.18,0.17,0.16,0.28,0.31,0.35,0.3,0.65,0.5,0.31,0.04,0.01,0.22,0.08,0.0,0,-1,1,1,0,0
384,0,0.16,0.52,0.39,0.53,0.34,0.38,0.17,1.0,0.26,0.54,0.13,0.43,0.37,0.26,0.24,0.7,0.74,0.17,0.67,0.45,0.61,0.23,0.88,0.19,0.52,0.62,0.52,0.54,0.65,0.41,0.38,0.46,0.35,0.48,0.43,0.49,0.42,0.55,0.74,0.5,0.15,0.53,0.77,0.0,0.12,0.8,0.13,0.36,0.43,0.15,0.51,0.62,0.33,0.36,0.33,0.38,0.41,0.45,0.41,0.48,0.71,0.63,0.04,0.03,0.75,0.59,0.76,0,-1,1,1,0,0
385,0,0.0,0.49,0.63,0.55,0.48,0.58,0.0,0.0,0.17,0.37,1.0,0.68,0.4,0.22,0.18,0.7,0.63,0.24,0.26,0.34,0.29,0.61,0.45,0.35,0.31,0.6,0.36,0.35,0.45,0.49,0.49,0.57,0.56,0.9,0.88,0.23,0.19,0.36,0.34,0.41,0.5,0.23,0.56,0.0,0.02,0.6,0.52,0.2,0.52,0.67,0.62,0.29,0.09,0.09,0.09,0.09,0.18,0.19,0.18,0.38,0.37,0.33,0.0,0.02,0.13,0.01,0.0,0,-1,0,1,0,0
386,0,0.08,1.0,0.59,0.7,0.48,0.13,0.09,1.0,0.5,0.79,0.36,0.23,0.27,0.48,0.27,0.39,0.44,0.17,0.33,0.38,0.46,0.25,0.44,0.33,0.31,0.86,0.5,0.4,0.84,0.73,0.69,0.81,0.75,0.4,0.48,0.65,0.67,0.84,0.83,0.78,0.62,0.54,0.41,0.5,0.02,0.9,0.62,0.08,0.11,0.77,0.13,0.25,0.44,0.44,0.42,0.6,0.59,0.63,0.57,0.72,0.7,0.33,0.0,0.05,0.29,0.03,0.0,0,-1,1,0,1,1
387,0,0.0,0.38,0.49,0.47,0.35,0.61,0.0,0.0,0.21,0.4,0.3,0.68,0.52,0.26,0.26,0.41,0.46,0.27,0.44,0.36,0.34,0.42,0.51,0.33,0.53,0.31,0.5,0.53,0.42,0.61,0.57,0.59,0.69,0.39,0.49,0.19,0.18,0.36,0.33,0.43,0.56,0.15,0.53,0.5,0.03,0.56,0.59,0.33,0.85,0.44,0.49,0.41,0.04,0.06,0.08,0.16,0.18,0.18,0.22,0.38,0.3,0.43,0.0,0.03,0.08,0.0,0.0,0,-1,0,1,0,0
388,0,0.17,0.83,0.46,0.52,0.26,0.09,0.19,1.0,0.5,0.82,0.09,0.16,0.4,0.44,0.28,0.19,0.3,0.22,0.47,0.63,0.37,0.29,0.4,0.33,0.4,0.32,0.47,0.45,0.85,0.75,0.73,0.77,0.67,0.39,0.39,0.61,0.66,0.91,0.88,0.85,0.7,0.42,0.28,0.5,0.16,0.69,0.7,0.12,0.21,0.96,0.18,0.15,0.37,0.34,0.32,0.58,0.58,0.67,0.6,0.73,0.89,0.15,0.0,0.14,0.2,0.05,0.0,0,-1,1,0,0,0
389,1,0.01,0.48,0.41,0.38,0.23,0.35,0.03,1.0,0.57,0.64,0.18,0.36,0.42,0.57,0.52,0.09,0.12,0.61,0.24,0.62,0.4,0.69,0.2,0.73,0.28,0.29,0.35,0.33,0.53,0.83,0.87,0.87,0.79,0.55,0.58,0.16,0.16,0.51,0.62,0.16,0.79,0.03,0.38,0.5,0.02,0.8,0.7,0.11,0.27,0.63,0.09,0.11,0.21,0.23,0.25,0.3,0.3,0.35,0.32,0.36,0.34,0.29,0.0,0.01,0.25,0.06,0.0,0,-1,0,0,0,0
390,1,0.0,0.62,0.5,0.35,0.27,0.51,0.02,1.0,1.0,0.5,0.4,0.49,0.42,1.0,1.0,0.05,0.05,1.0,0.12,0.38,0.19,0.76,0.03,1.0,0.01,0.34,0.16,0.1,0.56,0.93,0.89,0.94,0.71,0.41,0.22,0.32,0.36,0.67,0.62,0.84,0.95,0.2,0.1,0.5,0.01,0.88,0.97,0.0,0.57,0.04,0.01,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.22,0.0,0.01,0.29,0.06,0.0,0,-1,1,0,0,0
391,0,0.01,0.56,0.4,0.67,0.38,0.2,0.0,0.0,0.23,0.74,0.33,0.24,0.54,0.19,0.21,0.14,0.19,0.27,0.31,0.61,0.18,0.31,0.29,0.29,0.28,0.19,0.39,0.35,0.58,0.81,0.85,0.82,0.67,0.39,0.34,0.22,0.23,0.6,0.51,0.69,0.18,0.27,0.49,0.5,0.01,0.9,0.24,0.04,0.36,0.71,0.06,0.12,0.19,0.18,0.17,0.35,0.35,0.37,0.33,0.49,0.66,0.0,0.0,0.02,0.19,0.01,0.0,0,-1,0,1,0,0
392,0,0.03,0.49,0.46,0.65,0.46,0.22,0.05,1.0,0.23,0.75,0.19,0.24,0.53,0.2,0.22,0.16,0.25,0.28,0.41,0.6,0.09,0.55,0.28,0.42,0.37,0.24,0.58,0.51,0.44,0.62,0.62,0.69,0.47,0.45,0.44,0.17,0.19,0.51,0.5,0.54,0.34,0.21,0.45,0.5,0.05,0.7,0.36,0.26,0.23,0.67,0.41,0.18,0.13,0.12,0.12,0.21,0.27,0.27,0.31,0.53,0.53,0.42,0.01,0.04,0.19,0.01,0.0,0,-1,0,1,0,0
393,0,0.03,0.49,0.48,0.59,0.41,0.3,0.0,0.0,0.2,0.61,0.34,0.37,0.27,0.2,0.22,0.46,0.52,0.28,0.35,0.49,0.22,0.36,0.39,0.34,0.67,0.4,0.75,0.74,0.56,0.52,0.52,0.57,0.45,0.27,0.42,0.38,0.35,0.5,0.49,0.53,0.31,0.44,0.6,0.0,0.08,0.45,0.34,0.35,0.52,0.73,0.67,0.56,0.1,0.1,0.11,0.19,0.2,0.23,0.22,0.36,0.41,0.5,0.01,0.06,0.11,0.03,0.0,0,-1,0,1,0,0
394,1,0.0,0.68,0.5,0.32,0.23,0.1,0.02,1.0,1.0,0.91,0.64,0.1,0.33,0.98,0.92,0.07,0.09,0.75,0.14,0.7,0.31,0.28,0.1,0.74,0.16,0.18,0.13,0.14,0.59,1.0,0.97,0.94,0.98,0.35,0.26,0.18,0.23,0.75,0.71,0.64,0.98,0.04,0.02,1.0,0.01,0.82,0.97,0.04,0.56,0.9,0.01,0.0,0.41,0.48,0.6,0.41,0.45,0.67,0.56,0.33,0.54,0.29,0.0,0.04,0.08,0.02,0.0,0,-1,1,0,0,0
395,1,0.03,0.33,0.41,0.43,0.28,0.53,0.0,0.0,0.23,0.46,0.62,0.55,0.49,0.26,0.26,0.23,0.32,0.25,0.4,0.46,0.48,0.42,0.52,0.32,0.61,0.28,0.53,0.58,0.36,0.66,0.71,0.66,0.76,0.69,0.68,0.15,0.14,0.34,0.4,0.27,0.61,0.07,0.49,0.5,0.03,0.84,0.58,0.18,0.38,0.46,0.21,0.11,0.1,0.09,0.09,0.13,0.16,0.15,0.14,0.29,0.14,0.21,0.0,0.05,0.14,0.02,0.0,0,-1,0,1,0,0
396,1,0.14,1.0,0.72,0.65,0.45,0.26,0.16,1.0,0.07,0.5,0.28,0.43,0.19,0.05,0.04,1.0,0.98,0.18,1.0,0.19,0.3,0.47,0.47,0.35,0.28,0.53,0.48,0.41,1.0,0.53,0.47,0.6,0.54,0.23,0.09,1.0,1.0,1.0,1.0,0.97,0.46,1.0,0.67,0.0,0.14,0.62,0.46,0.42,0.42,0.71,1.0,1.0,0.04,0.04,0.06,0.1,0.14,0.16,0.12,0.62,0.45,0.42,0.02,0.08,0.3,0.13,0.5,0,-1,1,1,1,1
397,0,0.01,0.31,0.24,0.5,0.25,0.48,0.02,1.0,0.33,0.6,0.08,0.5,0.55,0.37,0.34,0.32,0.44,0.29,0.19,0.6,0.54,0.33,0.48,0.32,0.51,0.52,0.53,0.54,0.41,0.61,0.64,0.71,0.62,0.49,0.59,0.2,0.17,0.33,0.43,0.24,0.53,0.06,0.48,0.5,0.02,0.8,0.48,0.22,0.43,0.27,0.09,0.08,0.22,0.2,0.2,0.45,0.43,0.46,0.44,0.45,0.54,0.58,0.0,0.01,0.35,0.1,0.0,0,-1,0,1,0,0
398,0,0.01,0.39,0.72,0.81,0.76,0.43,0.03,1.0,0.25,0.56,0.16,0.51,0.44,0.29,0.3,0.39,0.45,0.42,0.16,0.49,0.13,0.5,0.34,0.44,0.67,0.67,0.54,0.62,0.34,0.38,0.4,0.53,0.39,0.6,0.67,0.21,0.15,0.25,0.32,0.28,0.21,0.12,0.71,0.0,0.03,0.7,0.21,0.26,0.26,0.52,0.52,0.24,0.22,0.24,0.29,0.4,0.41,0.42,0.42,0.54,0.41,0.32,0.01,0.03,0.15,0.12,0.0,0,-1,0,1,0,0
399,0,0.03,0.0,0.04,0.09,0.05,1.0,0.05,1.0,0.15,0.0,0.12,1.0,0.47,0.19,0.4,0.38,0.56,0.21,0.47,0.0,0.17,0.25,0.24,0.38,0.66,0.21,0.43,0.55,0.01,0.23,0.23,0.33,0.2,0.27,0.24,0.08,0.05,0.0,0.0,0.19,0.54,0.22,1.0,0.0,0.41,0.0,0.6,0.08,0.51,0.67,0.23,0.2,0.16,0.15,0.19,0.35,0.38,0.47,0.4,0.99,0.69,0.4,0.0,0.01,0.62,0.21,0.0,1,-1,1,1,0,0
400,0,0.07,0.36,0.4,0.5,0.34,0.49,0.08,1.0,0.18,0.41,0.1,0.54,0.57,0.22,0.23,0.38,0.53,0.19,0.58,0.28,0.67,0.35,0.67,0.29,0.66,0.49,0.68,0.69,0.4,0.42,0.43,0.46,0.48,0.45,0.41,0.2,0.17,0.32,0.37,0.29,0.51,0.07,0.54,0.5,0.09,0.69,0.49,0.57,0.56,0.29,0.55,0.2,0.05,0.05,0.07,0.15,0.17,0.16,0.18,0.43,0.18,0.39,0.02,0.08,0.15,0.07,0.0,1,-1,0,1,0,0
401,0,0.99,0.42,0.44,0.56,0.37,0.39,0.99,1.0,0.2,0.45,0.11,0.48,0.47,0.21,0.2,0.33,0.49,0.22,0.59,0.42,0.51,0.45,0.56,0.3,0.62,0.69,0.61,0.64,0.55,0.18,0.21,0.2,0.16,0.45,0.45,0.43,0.34,0.42,0.47,0.42,0.31,0.2,0.62,0.0,0.73,0.8,0.31,0.86,0.44,0.21,0.33,0.46,0.09,0.08,0.07,0.25,0.27,0.3,0.28,0.59,0.41,0.57,0.3,0.28,0.55,0.62,0.24,0,-1,1,1,0,0
402,0,0.0,0.45,0.56,0.6,0.46,0.45,0.02,1.0,0.14,0.48,0.16,0.49,0.56,0.16,0.16,0.43,0.48,0.3,0.51,0.34,0.15,0.79,0.29,0.45,0.57,0.41,0.69,0.67,0.49,0.5,0.49,0.64,0.55,0.58,0.47,0.25,0.22,0.4,0.41,0.41,0.43,0.18,0.6,0.0,0.03,0.57,0.44,0.35,0.58,0.56,0.45,0.07,0.06,0.08,0.09,0.12,0.15,0.14,0.17,0.34,0.2,0.6,0.0,0.02,0.15,0.06,0.0,0,-1,0,1,0,0
403,0,0.0,0.76,0.55,0.52,0.34,0.35,0.02,1.0,0.21,0.58,0.12,0.47,0.56,0.21,0.13,0.88,0.82,0.03,0.54,0.34,0.47,0.19,0.89,0.08,0.45,0.39,0.44,0.46,0.9,0.73,0.67,0.78,0.78,0.28,0.11,0.91,0.91,0.84,0.7,1.0,0.58,0.79,0.5,0.5,0.01,0.72,0.65,0.63,0.8,0.31,0.51,0.09,0.04,0.03,0.02,0.2,0.2,0.19,0.27,0.31,0.17,0.31,0.0,0.01,0.17,0.05,0.0,0,-1,1,1,1,1
404,1,0.01,0.64,0.44,0.48,0.27,0.42,0.0,0.0,0.22,0.49,0.93,0.47,0.34,0.23,0.21,0.63,0.65,0.18,0.69,0.35,0.22,0.34,0.47,0.28,0.48,0.35,0.57,0.55,0.67,0.52,0.52,0.43,0.59,0.21,0.34,0.54,0.52,0.65,0.57,0.75,0.46,0.6,0.43,0.5,0.01,0.78,0.52,0.03,0.21,0.63,0.37,0.16,0.24,0.26,0.28,0.24,0.26,0.27,0.27,0.64,0.54,0.37,0.01,0.02,0.17,0.0,0.0,0,-1,1,1,1,1
405,0,0.01,0.77,0.55,0.59,0.38,0.2,0.0,0.0,0.21,0.58,0.22,0.23,0.31,0.19,0.13,0.96,0.76,0.13,0.76,0.35,0.34,0.24,0.56,0.23,0.6,0.47,0.58,0.61,0.88,0.48,0.41,0.38,0.47,0.33,0.19,0.79,0.77,0.81,0.8,0.79,0.51,0.82,0.55,0.5,0.03,0.5,0.53,0.35,0.21,0.77,0.87,0.25,0.09,0.11,0.18,0.13,0.23,0.24,0.25,0.64,0.51,0.76,0.0,0.06,0.06,0.04,0.0,0,-1,1,1,1,1
406,1,0.01,0.32,0.3,0.42,0.25,0.51,0.03,1.0,0.31,0.53,0.23,0.55,0.6,0.34,0.3,0.26,0.35,0.19,0.36,0.58,0.51,0.31,0.46,0.24,0.5,0.42,0.49,0.52,0.36,0.53,0.57,0.56,0.66,0.73,0.66,0.15,0.13,0.36,0.41,0.23,0.7,0.07,0.53,0.5,0.01,0.93,0.65,0.04,0.24,0.4,0.11,0.0,0.17,0.14,0.13,0.37,0.37,0.4,0.33,0.72,0.42,0.24,0.0,0.01,0.46,0.47,0.0,0,-1,0,1,0,0
